date,home_team,scroe,away_team
11-04-2021,Venezia,3 - 0,Nuova Cosenza
17-04-2021,Pisa,3 - 0,Nuova Cosenza
01-05-2021,Nuova Cosenza,3 - 0,Pescara
04-05-2021,Empoli,4 - 0,Nuova Cosenza
07-05-2021,Nuova Cosenza,0 - 3,Monza
10-05-2021,Pordenone,2 - 0,Nuova Cosenza
26-09-2020,Pescara,0 - 0,Chievo
03-10-2020,Reggina,3 - 1,Pescara
17-10-2020,Pescara,1 - 2,Empoli
20-10-2020,Venezia,4 - 0,Pescara
24-10-2020,Pescara,0 - 2,Frosinone
02-11-2020,Lecce,3 - 1,Pescara
08-11-2020,Pescara,3 - 1,Cittadella
21-11-2020,Spal,2 - 0,Pescara
28-11-2020,Pescara,0 - 2,Pordenone
04-12-2020,Ascoli,0 - 2,Pescara
12-12-2020,Pescara,2 - 3,Vicenza Virtus
15-12-2020,Pisa,0 - 0,Pescara
19-12-2020,Pescara,3 - 2,Monza
22-12-2020,Pescara,1 - 1,Brescia
27-12-2020,Virtus Entella,3 - 0,Pescara
30-12-2020,Pescara,0 - 0,Nuova Cosenza
04-01-2021,Reggiana,0 - 1,Pescara
17-01-2021,Pescara,0 - 2,Cremonese
23-01-2021,Salernitana,2 - 0,Pescara
31-01-2021,Chievo,3 - 1,Pescara
06-02-2021,Pescara,0 - 2,Reggina
09-02-2021,Empoli,2 - 2,Pescara
13-02-2021,Pescara,0 - 2,Venezia
19-02-2021,Frosinone,0 - 0,Pescara
27-02-2021,Pescara,1 - 1,Lecce
02-03-2021,Cittadella,0 - 1,Pescara
06-03-2021,Pescara,0 - 1,Spal
13-03-2021,Pordenone,0 - 0,Pescara
16-03-2021,Pescara,2 - 3,Ascoli
20-03-2021,Vicenza Virtus,1 - 0,Pescara
02-04-2021,Pescara,3 - 1,Pisa
05-04-2021,Monza,1 - 1,Pescara
10-04-2021,Brescia,1 - 1,Pescara
27-04-2021,Pescara,1 - 1,Virtus Entella
01-05-2021,Nuova Cosenza,3 - 0,Pescara
04-05-2021,Pescara,1 - 0,Reggiana
07-05-2021,Cremonese,3 - 0,Pescara
10-05-2021,Pescara,0 - 3,Salernitana
27-09-2020,Reggiana,2 - 2,Pisa
04-10-2020,Pisa,1 - 1,Cremonese
17-10-2020,Salernitana,4 - 1,Pisa
20-10-2020,Pisa,1 - 1,Monza
23-10-2020,Empoli,3 - 1,Pisa
31-10-2020,Vicenza Virtus,4 - 4,Pisa
22-11-2020,Reggina,1 - 2,Pisa
28-11-2020,Pisa,1 - 4,Cittadella
05-12-2020,Spal,4 - 0,Pisa
08-12-2020,Pisa,2 - 1,Ascoli
12-12-2020,Pisa,1 - 0,Pordenone
15-12-2020,Pisa,0 - 0,Pescara
19-12-2020,Lecce,0 - 3,Pisa
22-12-2020,Pisa,2 - 2,Chievo
27-12-2020,Nuova Cosenza,1 - 1,Pisa
04-01-2021,Venezia,1 - 1,Pisa
16-01-2021,Pisa,1 - 0,Brescia
22-01-2021,Virtus Entella,2 - 1,Pisa
30-01-2021,Pisa,1 - 0,Reggiana
02-02-2021,Pisa,0 - 0,Frosinone
06-02-2021,Cremonese,2 - 1,Pisa
09-02-2021,Pisa,2 - 2,Salernitana
12-02-2021,Monza,0 - 2,Pisa
20-02-2021,Pisa,1 - 1,Empoli
27-02-2021,Pisa,2 - 2,Vicenza Virtus
02-03-2021,Ascoli,0 - 2,Pisa
06-03-2021,Pisa,0 - 0,Reggina
12-03-2021,Cittadella,2 - 0,Pisa
15-03-2021,Pisa,3 - 0,Spal
02-04-2021,Pescara,3 - 1,Pisa
05-04-2021,Pisa,0 - 1,Lecce
12-04-2021,Chievo,2 - 0,Pisa
17-04-2021,Pisa,3 - 0,Nuova Cosenza
24-04-2021,Pordenone,2 - 2,Pisa
01-05-2021,Frosinone,3 - 1,Pisa
04-05-2021,Pisa,2 - 2,Venezia
07-05-2021,Brescia,4 - 3,Pisa
10-05-2021,Pisa,3 - 2,Virtus Entella
26-09-2020,Lecce,0 - 0,Pordenone
03-10-2020,Vicenza Virtus,1 - 1,Pordenone
17-10-2020,Pordenone,3 - 3,Spal
20-10-2020,Cittadella,2 - 0,Pordenone
24-10-2020,Pordenone,2 - 2,Reggina
31-10-2020,Ascoli,0 - 1,Pordenone
07-11-2020,Pordenone,1 - 1,Chievo
21-11-2020,Pordenone,1 - 1,Monza
28-11-2020,Pescara,0 - 2,Pordenone
07-12-2020,Pordenone,0 - 0,Empoli
12-12-2020,Pisa,1 - 0,Pordenone
15-12-2020,Pordenone,1 - 1,Brescia
18-12-2020,Virtus Entella,0 - 1,Pordenone
22-12-2020,Pordenone,1 - 2,Cremonese
27-12-2020,Frosinone,1 - 1,Pordenone
30-12-2020,Pordenone,3 - 0,Reggiana
04-01-2021,Salernitana,0 - 2,Pordenone
